Link	New name	Change	Who Number	Last name	Prop Lists	Rec Lists	Locator name	French	Spanish	Russian	Arabic	Chinese	Phonetic	Molecular formula				"InchiKey


asdasd"					
https://mednet-communities.net/inn/db/ViewINN.aspx?i=9729	tecemotide		9729	tecemotide	108	70	tecemotide [INN]	técémotide	tecemotida	?????????	?????????	????	String	C124H203N33O38	tecemotide	CCCCCCCCCCCCCCCC(=O)N*	[NO STEREO] Q7Y026G2CX	ERROR	[NO STEREO] 221214-84-2	C16H32NO	[NO STEREO] TECEMOTIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ERROR/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=9820	paclitaxel trevatide		9820	paclitaxel trevatide	"109, 112"	"71, 73"	paclitaxel trevatide [INN]	paclitaxel trévatide	paclitaxel trevatida	??????????? ????????	??????????? ????????	?????	String	C257H308N32O79	paclitaxel trevatide	CN(*)C(=O)CCC(=O)O[C@H]([C@@H](NC(=O)C1=CC=CC=C1)C2=CC=CC=C2)C(=O)O[C@H]3C[C@@]4(O)[C@@H](OC(=O)C5=CC=CC=C5)[C@@H]6[C@@]7(CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C3C)C4(C)C)OC(C)=O	[NO STEREO] 8P77G99D3P	ERROR	[NO STEREO] 1075214-55-9	C52H57N2O16	[NO STEREO] PACLITAXEL TREVATIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/ERROR/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7659	moxifloxacin		7659	moxifloxacin	86	48	moxifloxacin [INN]	moxifloxacine	moxifloxacino	??????????????	??????????????	????	moxifloxacin	C21H24FN3O4	moxifloxacin	COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N3C[C@@H]4CCCN[C@@H]4C3)C5CC5	U188XYD42P	FABPRXSRWADJSP-MEDUHNTESA-N	151096-09-2	C21H24FN3O4	MOXIFLOXACIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FABPRXSRWADJSP-MEDUHNTESA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8390	ixabepilone		8390	ixabepilone	89	51	ixabepilone [INN]	ixabépilone	ixabepilona	???????????	????????????	????	ixabepilone	C27H42N2O5S	ixabepilone	C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)C(\C)=C\C3=CSC(C)=N3	K27005NP0A	FABUFPQFXZVHFB-PVYNADRNSA-N	219989-84-1	C27H42N2O5S	IXABEPILONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FABUFPQFXZVHFB-PVYNADRNSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6044	pentiapine		6044	pentiapine	58	43	pentiapine [INN]	pentiapine	pentiapina	?????????	?????????	???	pentiapine	C15H17N5S	pentiapine	CN1CCN(CC1)C2=NC3=C(SC4=NC=CN24)C=CC=C3	RAP39VD6P5	FACMWMBWGSPRKO-UHFFFAOYSA-N	81382-51-6	C15H17N5S	PENTIAPINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FACMWMBWGSPRKO-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6818	repaglinide		6818	repaglinide	65	32	repaglinide [INN]	répaglinide	repaglinida	??????????	??????????	????	repaglinide	C27H36N2O4	repaglinide	CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N3CCCCC3)=C1)C(O)=O	668Z8C33LU	FAEKWTJYAYMJKF-QHCPKHFHSA-N	135062-02-1	C27H36N2O4	REPAGLINIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAEKWTJYAYMJKF-QHCPKHFHSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7579	omiloxetine		7579	omiloxetine	79	40	omiloxetine [INN]	omiloxétine	omiloxetina	???????????	????????????	????	omiloxetine	C27H25F2NO4	omiloxetine	FC1=CC=C(C=C1)[C@H]2CCN(CC(=O)C3=CC=C(F)C=C3)C[C@@H]2COC4=CC=C5OCOC5=C4	H8YI0SSF7B	FAHGZANUNVVDFL-HYBUGGRVSA-N	176894-09-0	C27H25F2NO4	OMILOXETINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAHGZANUNVVDFL-HYBUGGRVSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5459	nilvadipine		5459	nilvadipine	52	25	nilvadipine [INN]	nilvadipine	nilvadipino	??????????	??????????	????	nilvadipine	C19H19N3O6	nilvadipine	COC(=O)C1=C(NC(C)=C(C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC(C)C)C#N	0214FUT37J	FAIIFDPAEUKBEP-UHFFFAOYSA-N	75530-68-6	C19H19N3O6	NILVADIPINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAIIFDPAEUKBEP-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4373	captopril		4373	captopril	39	18	captopril [INN]	captopril	captopril	?????????	?????????	????	captopril	C9H15NO3S	captopril	C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O	9G64RSX1XD	FAKRSMQSSFJEIM-RQJHMYQMSA-N	62571-86-2	C9H15NO3S	CAPTOPRIL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAKRSMQSSFJEIM-RQJHMYQMSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5226	tivanidazole		5226	tivanidazole	48	23	tivanidazole [INN]	tivanidazole	tivanidazol	???????????	???????????	????	tivanidazole	C11H13N5O2S	tivanidazole	CCC1=NN=C(S1)C(\C)=C\C2=NC=C(N2C)[N+]([O-])=O	7E136TJT00	FAMHRHPGWNQVGW-FNORWQNLSA-N	80680-05-3	C11H13N5O2S	TIVANIDAZOLE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAMHRHPGWNQVGW-FNORWQNLSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=803	fluorometholone		803	fluorometholone	8	4	fluorometholone [INN]	fluorométholone	fluorometolona	???????????	?????????????	???	fluorometolone	C22H29FO4	fluorometholone	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14	SV0CSG527L	FAOZLTXFLGPHNG-KNAQIMQKSA-N	426-13-1	C22H29FO4	FLUOROMETHOLONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAOZLTXFLGPHNG-KNAQIMQKSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=2047	hexamethonium bromide		2047	hexamethonium bromide	1	1	hexamethonium bromide [INN]	bromure d'hexaméthonium	bromuro de hexametonio	???????????? ??????	?????? ?????????????	????	hexametonium	C12H30Br2N2	hexamethonium bromide	[Br-].[Br-].C[N+](C)(C)CCCCCC[N+](C)(C)C	8J77X3S603	FAPSXSAPXXJTOU-UHFFFAOYSA-L	55-97-0	C12H30N2	HEXAMETHONIUM BROMIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAPSXSAPXXJTOU-UHFFFAOYSA-L/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4155	compound solution of sodium chloride		4155	compound solution of sodium chloride	1	1	compound solution of sodium chloride [INN]	soluté de chlorure de sodium composé	solucion de cloruro sódico compuesta	?????? ??????? ??????? ???????	????? ???? ?????? ??????	???????	compound solution	Empty	compound solution of sodium chloride	[Na+].[Cl-]	451W47IQ8X	FAPWRFPIFSIZLT-UHFFFAOYSA-M	7647-14-5	Cl	SODIUM CHLORIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAPWRFPIFSIZLT-UHFFFAOYSA-M/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1260	calcium pantothenate		1260	calcium pantothenate	74	40	calcium pantothenate [INN]	pantothénate de calcium	pantotenato de calcio	??????? ??????????	?????????? ???????  	???	pantotenate	C18H32CaN2O10	calcium pantothenate	[Ca++].CC(C)(CO)[C@@H](O)C(=O)NCCC([O-])=O.CC(C)(CO)[C@@H](O)C(=O)NCCC([O-])=O	568ET80C3D	FAPWYRCQGJNNSJ-UBKPKTQASA-L	137-08-6	C9H16NO5	CALCIUM PANTOTHENATE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAPWYRCQGJNNSJ-UBKPKTQASA-L/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=9276	dexpramipexole		9276	dexpramipexole	103	65	dexpramipexole [INN]	dexpramipexole	dexpramipexol	???????????????	???????????????		String	C10H17N3S	dexpramipexole	CCCN[C@@H]1CCC2=C(C1)SC(N)=N2	WI638GUS96	FASDKYOPVNHBLU-SSDOTTSWSA-N	104632-28-2	C10H17N3S	DEXPRAMIPEXOLE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FASDKYOPVNHBLU-SSDOTTSWSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6227	pramipexole		6227	pramipexole	58	28	pramipexole [INN]	pramipexole	pramipexol	???????????	???????????	????	pramipexole	C10H17N3S	pramipexole	CCCN[C@H]1CCC2=C(C1)SC(N)=N2	83619PEU5T	FASDKYOPVNHBLU-ZETCQYMHSA-N	104632-26-0	C10H17N3S	PRAMIPEXOLE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FASDKYOPVNHBLU-ZETCQYMHSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3316	pepstatin		3316	pepstatin	28	13	pepstatin [INN]	pepstatine	pepstatina	?????????	?????????	????	pepstatin	C34H63N5O9	pepstatin	CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(O)=O	V6Y2T27Q1U	FAXGPCHRFPCXOO-LXTPJMTPSA-N	26305-03-3	C34H63N5O9	PEPSTATIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FAXGPCHRFPCXOO-LXTPJMTPSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=301	sulfaproxyline		301	sulfaproxyline	4	3	sulfaproxyline [INN]	sulfaproxyline	sulfaproxilina	???????????????	??????????????	?????	sulfaproxiline	C16H18N2O4S	sulfaproxyline	CC(C)OC1=CC=C(C=C1)C(=O)NS(=O)(=O)C2=CC=C(N)C=C2	YR841R53VW	FBFBRAFXKGRRHI-UHFFFAOYSA-N	116-42-7	C16H18N2O4S	SULFAPROXYLINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBFBRAFXKGRRHI-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4323	deflazacort		4323	deflazacort	39	18	deflazacort [INN]	déflazacort	deflazacort	???????????	???????????	????	deflazacort	C25H31NO6	deflazacort	CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C	KR5YZ6AE4B	FBHSPRKOSMHSIF-GRMWVWQJSA-N	14484-47-0	C25H31NO6	DEFLAZACORT	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBHSPRKOSMHSIF-GRMWVWQJSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6503	rociclovir		6503	rociclovir	62	30	rociclovir [INN]	rociclovir	rociclovir	??????????	??????????	????	rociclovir	C15H25N5O3	rociclovir	CC(C)OCC(COC(C)C)OCN1C=NC2=C1N=C(N)N=C2	6DF29U51Y7	FBHWXSOQXQBXER-UHFFFAOYSA-N	108436-80-2	C15H25N5O3	ROCICLOVIR	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBHWXSOQXQBXER-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=771	oxadimedine		771	oxadimedine	8	4	oxadimedine [INN]	oxadimédine	oxadimedina	???????????	????????????	????	oxadimedine	C18H21N3O	oxadimedine	CN(C)CCN(CC1=CC=CC=C1)C2=NC3=C(O2)C=CC=C3	8K9WQD78R6	FBJHSTREJLPCAT-UHFFFAOYSA-N	16485-05-5	C18H21N3O	OXADIMEDINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBJHSTREJLPCAT-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4811	bucindolol		4811	bucindolol	43	20	bucindolol [INN]	bucindolol	bucindolol	??????????	??????????	????	bucindolol	C22H25N3O2	bucindolol	CC(C)(CC1=CNC2=C1C=CC=C2)NCC(O)COC3=C(C=CC=C3)C#N	E9UO06K7CE	FBMYKMYQHCBIGU-UHFFFAOYSA-N	71119-11-4	C22H25N3O2	BUCINDOLOL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBMYKMYQHCBIGU-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8155	solifenacin		8155	solifenacin	85	47	solifenacin [INN]	solifénacine	solifenacina	???????????	???????????	????	solifenacin	C23H26N2O2	solifenacin	O=C(O[C@H]1CN2CCC1CC2)N3CCC4=C(C=CC=C4)[C@@H]3C5=CC=CC=C5	A8910SQJ1U	FBOUYBDGKBSUES-VXKWHMMOSA-N	242478-37-1	C23H26N2O2	SOLIFENACIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBOUYBDGKBSUES-VXKWHMMOSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=926	methotrexate		926	methotrexate	10	4	methotrexate [INN]	méthotrexate	metotrexato	???????????	???????????	????	metotrexate	C20H22N8O5	methotrexate	CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O	YL5FZ2Y5U1	FBOZXECLQNJBKD-ZDUSSCGKSA-N	59-05-2	C20H22N8O5	METHOTREXATE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBOZXECLQNJBKD-ZDUSSCGKSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=337	lucanthone		337	lucanthone	4	3	lucanthone [INN]	lucanthone	lucantona	????????	????????  	???	lucantone	C20H24N2OS	lucanthone	CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(C)C=C1)C=CC=C3	FC6D57000M	FBQPGGIHOFZRGH-UHFFFAOYSA-N	479-50-5	C20H24N2OS	LUCANTHONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBQPGGIHOFZRGH-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8601	rivenprost		8601	rivenprost	93	55	rivenprost [INN]	rivenprost	rivenprost	??????????	??????????	?????	rivenprost	C24H34O6S	rivenprost	COCC1=CC(C[C@H](O)\C=C\[C@H]2[C@H](O)CC(=O)[C@@H]2CCSCCCC(=O)OC)=CC=C1	1WBO45T413	FBQUXLIJKPWCAO-AZIFJQEOSA-N	256382-08-8	C24H34O6S	RIVENPROST	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBQUXLIJKPWCAO-AZIFJQEOSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4349	zorubicin		4349	zorubicin	39	18	zorubicin [INN]	zorubicine	zorubicina	?????????	?????????	????	zorubicin	C34H35N3O10	zorubicin	COC1=CC=CC2=C1C(=O)C3=C(C2=O)C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=NNC(=O)C6=CC=CC=C6	[NO STEREO] V25F9362OP	FBTUMDXHSRTGRV-ALTNURHMSA-N	[NO STEREO] 54083-22-6	C34H35N3O10	[NO STEREO] ZORUBICIN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBTUMDXHSRTGRV-ALTNURHMSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=7237	perospirone		7237	perospirone	71	35	perospirone [INN]	pérospirone	perospirona	??????????	??????????	????	perospirone	C23H30N4O2S	perospirone	O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN3CCN(CC3)C4=NSC5=C4C=CC=C5	N303OK87DT	FBVFZWUMDDXLLG-HDICACEKSA-N	150915-41-6	C23H30N4O2S	PEROSPIRONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBVFZWUMDDXLLG-HDICACEKSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4842	metrazifone		4842	metrazifone	44	21	metrazifone [INN]	métrazifone	metrazifona	??????????	??????????	????	metrazifone	C20H23N5O	metrazifone	CN(C)C1=CC=C(C=C1)C2=NN(C)C(=O)N=C2C3=CC=C(C=C3)N(C)C	1N1RL0G53P	FBZHCUQUPMUOCR-UHFFFAOYSA-N	68289-14-5	C20H23N5O	METRAZIFONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FBZHCUQUPMUOCR-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=9690	nobiprostolan		9690	nobiprostolan	109	71	nobiprostolan [INN]	nobiprostolan	nobiprostolán	?????????????	?????????????	?????	String	C27H48O6	nobiprostolan	CCCCCCCC2(CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(=O)OC(C)C)OCCO2	3AF610ZQ3R	FCDDMESBMCWDJP-PEEJLGBMSA-N	120373-67-3	C27H48O6	NOBIPROSTOLAN	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCDDMESBMCWDJP-PEEJLGBMSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=6502	secalciferol		6502	secalciferol	62	30	secalciferol [INN]	sécalciférol	secalciferol	?????????????	????????????	????	secalciferol	C27H44O3	secalciferol	C[C@H](CC[C@@H](O)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C	460029IUDA	FCKJYANJHNLEEP-XRWYNYHCSA-N	55721-11-4	C27H44O3	SECALCIFEROL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCKJYANJHNLEEP-XRWYNYHCSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4677	oxendolone		4677	oxendolone	42	20	oxendolone [INN]	oxendolone	oxendolona	??????????	???????????	????	oxendolone	C20H30O2	oxendolone	CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O	MN4I850D4P	FCKLFGKATYPJPG-SSTBVEFVSA-N	33765-68-3	C20H30O2	OXENDOLONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCKLFGKATYPJPG-SSTBVEFVSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=4403	zoloperone		4403	zoloperone	39	18	zoloperone [INN]	zolopérone	zoloperona	?????????	?????????	????	zoloperone	C22H24FN3O3	zoloperone	COC1=C(C=CC=C1)N2CCN(CCC3=C(NC(=O)O3)C4=CC=C(F)C=C4)CC2	3YU9TET43B	FCMGKQUKZIJJSH-UHFFFAOYSA-N	52867-74-0	C22H24FN3O3	ZOLOPERONE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCMGKQUKZIJJSH-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=10046	toreforant		10046	toreforant	112		toreforant [INN]	toréforant	toreforant	??????????	??????????			C23H32N6	toreforant	CN1CCC(CCCNC2=NC(C)=C(C=N2)C3=NC4=C(N3)C=C(C)C=C4C)CC1	U6LA7G393X	FCRFVPZAXGJLPW-UHFFFAOYSA-N	952494-46-1	C23H32N6	TOREFORANT	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCRFVPZAXGJLPW-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=5438	proterguride		5438	proterguride	50	24	proterguride [INN]	proterguride	protergurida	???????????	???????????	????	proterguride	C22H32N4O	proterguride	CCCN1C[C@H](C[C@H]2[C@H]1CC3=CNC4=C3C2=CC=C4)NC(=O)N(CC)CC	10661OD4VE	FCRJELOYDVBTGW-ILZDJORESA-N	77650-95-4	C22H32N4O	PROTERGURIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCRJELOYDVBTGW-ILZDJORESA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3154	clobetasol		3154	clobetasol	26	12	clobetasol [INN]	clobétasol	clobetasol	??????????	??????????  	????	clobetasol	C22H28ClFO4	clobetasol	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl	ADN79D536H	FCSHDIVRCWTZOX-DVTGEIKXSA-N	25122-41-2	C22H28ClFO4	CLOBETASOL	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCSHDIVRCWTZOX-DVTGEIKXSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3868	nuclotixene		3868	nuclotixene	34	16	nuclotixene [INN]	nuclotixène	nuclotixeno	???????????	???????????	????	nuclotixene	C21H20ClNS	nuclotixene	ClC1=CC2=C(SC3=C(C=CC=C3)C2=CC4CN5CCC4CC5)C=C1	6DTQ2MGV34	FCXKKBQJIUTOHH-WOJGMQOQSA-N	36471-39-3	C21H20ClNS	NUCLOTIXENE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FCXKKBQJIUTOHH-WOJGMQOQSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=990	trichlormethine		990	trichlormethine	11	5	trichlormethine [INN]	trichlorméthine	triclormetina	????????????	????? ?????????	????	trichlormetine	C6H12Cl3N	trichlormethine	ClCCN(CCCl)CCCl	66WBM7N0NM	FDAYLTPAFBGXAB-UHFFFAOYSA-N	555-77-1	C6H12Cl3N	TRICHLORMETHINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDAYLTPAFBGXAB-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3805	tiropramide		3805	tiropramide	33	15	tiropramide [INN]	tiropramide	tiropramida	??????????	??????????	????	tiropramide	C28H41N3O3	tiropramide	CCCN(CCC)C(=O)C(CC1=CC=C(OCCN(CC)CC)C=C1)NC(=O)C2=CC=CC=C2	R7S0904CN2	FDBWMYOFXWMGEY-UHFFFAOYSA-N	55837-29-1	C28H41N3O3	TIROPRAMIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDBWMYOFXWMGEY-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=426	sulfanilamide		426	sulfanilamide	4	3	sulfanilamide [INN]	sulfanilamide	sulfanilamida	?????????????	????????????  	??	sulfanilamide	C6H8N2O2S	sulfanilamide	NC1=CC=C(C=C1)S(N)(=O)=O	21240MF57M	FDDDEECHVMSUSB-UHFFFAOYSA-N	63-74-1	C6H8N2O2S	SULFANILAMIDE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDDDEECHVMSUSB-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3832	trebenzomine		3832	trebenzomine	34	16	trebenzomine [INN]	trébenzomine	trebenzomina	???????????	???????????	????	trebenzomine	C12H17NO	trebenzomine	CC1OC2=C(CC1N(C)C)C=CC=C2	E26GV7524F	FDJAKSHVOONYHX-UHFFFAOYSA-N	23915-73-3	C12H17NO	TREBENZOMINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDJAKSHVOONYHX-UHFFFAOYSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=1369	cyanocobalamin		1369	cyanocobalamin	1	1	cyanocobalamin [INN]	cyanocobalamine	cianocobalamina	??????????????	??????????????                         		cianocobalamin	C63H88CoN14O14P	cyanocobalamin	[Co+3].[C-]#N.C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1C(C)=C3N=C(C=C4N=C(C(C)=C5[N-][C@]2(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O)OP([O-])(=O)O[C@@H]6[C@@H](CO)OC([C@@H]6O)N7C=NC8=C7C=C(C)C(C)=C8	[NO STEREO] 025P9I542Y|[NO STEREO] 562RS6MC22|[NO STEREO] P6YC3EG204|[NO STEREO] U0E93N6V2A	FDJOLVPMNUYSCM-QJRSUKKJSA-L	[NO STEREO] 13115-03-2|[NO STEREO] 13422-53-2|[NO STEREO] 68-19-9|[NO STEREO] 18195-32-9	C62H88N13O14P	[NO STEREO] CYANOCOBALAMIN CO-57|[NO STEREO] CYANOCOBALAMIN CO-60|[NO STEREO] CYANOCOBALAMIN|[NO STEREO] CYANOCOBALAMIN CO-58	PUBCHEM	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDJOLVPMNUYSCM-QJRSUKKJSA-L/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=3232	dacarbazine		3232	dacarbazine	27	12	dacarbazine [INN]	dacarbazine	dacarbazina	??????????	??????????                	????	dacarbazine	C6H10N6O	dacarbazine	CN(C)\N=N\C1=C(N=CN1)C(N)=O	7GR28W0FJI	FDKXTQMXEQVLRF-ZHACJKMWSA-N	3/4/4342	C6H10N6O	DACARBAZINE	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDKXTQMXEQVLRF-ZHACJKMWSA-N/SDF
https://mednet-communities.net/inn/db/ViewINN.aspx?i=8685	olaparib		8685	olaparib	94	56	olaparib [INN]	olaparib	olaparib	????????	?????????	????	olaparib	C24H23FN4O3	olaparib	FC1=C(C=C(CC2=NNC(=O)C3=C2C=CC=C3)C=C1)C(=O)N4CCN(CC4)C(=O)C5CC5	WOH1JD9AR8	FDLYAMZZIXQODN-UHFFFAOYSA-N	763113-22-0	C24H23FN4O3	OLAPARIB	FDA-SRS	https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/inchikey/FDLYAMZZIXQODN-UHFFFAOYSA-N/SDF
